marca,modelo,sistema,lanzamiento
Yezz,Yezz Andy 5E2I,Android 5.1,2015
Sony,Sony Xperia P,"Android 2.3, up to 4.1",2012
Sony,Sony Ericsson W350,Feature phone,2008
Philips,Philips Xenium 9@9i,Feature phone,2005
HTC,HTC One S9,"Android 6.0, Sense UI",2016
verykool,verykool s5702 Royale Quattro,Android 7.0,2018
LG,LG L80 Dual,Android 4.4.2,2014
NEC,NEC e313,Feature phone,2004
QMobile,QMobile QTab V10,Android 4.4,2015
HTC,HTC Wildfire S,"Android 2.3, up to 2.3.5, Sense UI 2.1",2011
alcatel,alcatel OT Pro,Feature phone,1998
Wiko,Wiko Rainbow 4G,Android 4.4.2,2014
LG,LG GW550,Microsoft Windows Mobile 6.5 Standard,2009
Micromax,Micromax X600,Feature phone,2010
LG,LG KM330,Feature phone,2009
alcatel,alcatel OT-S211,Feature phone,2008
Samsung,Samsung Galaxy Tab Pro 12.2 3G,"Android 4.4, TouchWiz UI",2014
Huawei,Huawei Watch 2 Pro,Android Wear OS 2.1,2017
Gionee,Gionee Elife S7,"Android 5, Amigo OS 3",2015
Huawei,Huawei Y5 lite (2018),"Android 8.1 Oreo, EMUI 8",2018
Samsung,Samsung T400,Feature phone,2002
Ericsson,Ericsson GF 337,Feature phone,1995
Samsung,Samsung F700,Feature phone,2007
Nokia,Nokia 6300,Feature phone,2007
Gigabyte,Gigabyte GSmart Maya M1 v2,Android 4.2.1,2013
alcatel,alcatel OT-S521A,Feature phone,2008
Tecno,Tecno Spark 6 Air,"Android 10, HiOS 6.2",2020
BLU,BLU Dual SIM Lite,Feature phone,2010
verykool,verykool i285,Feature phone,2011
Samsung,Samsung Galaxy Gear,Tizen OS,2013
HTC,HTC EVO Design 4G,"Android 2.3.4, up to 4.0, Sense UI 3",2011
Posh,Posh Icon HD X551,Android 5.1,2016
Infinix,Infinix Hot 8 Lite,Android 8.1 Oreo,2019
Nokia,Nokia E5,"Symbian 9.3, Series 60 rel. 3.2",2010
QMobile,QMobile Noir Z8 Plus,Android 4.4.2,2015
Philips,Philips TM700,Feature phone,2009
XOLO,XOLO X1000,"Android 4.0.4, up to 4.1",2013
alcatel,alcatel OT-810D,Feature phone,2011
Microsoft,Microsoft Kin TWOm,Feature phone,2010
Samsung,Samsung Galaxy Tab 3 Lite 7.0 3G,Android 4.2,2014
Philips,Philips 191,Feature phone,2008
HTC,HTC Sensation XL,"Android 2.3, up to 4.0, Sense UI 3.5",2011
Karbonn,Karbonn K451+ Sound Wave,Feature phone,2012
Wiko,Wiko Pulp 4G,Android 5.1,2015
Motorola,Motorola Z6c,Feature phone,2007
vivo,vivo Y20i,"Android 10, Funtouch 10.5",2020
QMobile,QMobile Noir i8,Android 5.0,2015
QMobile,QMobile Noir A75,Android 4.2,2014
Ulefone,Ulefone Armor 7E,Android 9.0,2020
Huawei,Huawei T211,Feature phone,2008
Siemens,Siemens Xelibri 6,Feature phone,2003
Asus,Asus Zenfone 2 ZE500CL,"Android 5.0, ZenUI",2015
Wiko,Wiko Goa,Android 4.4.2,2014
Samsung,Samsung Galaxy Tab A 8.0 & S Pen (2019),"Android 9.0, up to 11, One UI Core 3.1",2019
Apple,Apple iPad Air 2,"iOS 8.1, up to iPadOS 14.6",2014
QMobile,QMobile Noir X400,Android 4.4.2,2014
LG,LG G4 Dual,"Android 5.1.1, up to 6.0, LG Optimus UX UI 4",2015
HTC,HTC Desire 816G dual sim,"Android 4.4.2, Sense UI 6",2014
Intex,Intex Aqua GenX,Android 5.1,2015
Prestigio,Prestigio MultiPhone 4055 Duo,Android 4.0,2013
Maxwest,Maxwest Orbit 6200T,Android 4.2.2,2014
LG,LG CG180,Feature phone,2007
Celkon,Celkon C51,Feature phone,2014
Samsung,Samsung M2310,Feature phone,2009
ZTE,ZTE Open L,Firefox OS 2.2,0
Sagem,Sagem my200C,Feature phone,2007
ZTE,ZTE Blade V7 Max,Android 6.0.1,2016
Xiaomi,Xiaomi Redmi Note 7S,"Android 9.0, planned upgrade to 10, MIUI 12",2019
Philips,Philips Xenium X501,Feature phone,2010
alcatel,alcatel OT Max db,Feature phone,2000
Xiaomi,Xiaomi Mi 9X,"Android 9.0, MIUI 10",0
Nokia,Nokia X+,"Android 4.1.2, X platform 1",2014
Motorola,Motorola V690,Feature phone,2003
Micromax,Micromax X55 Blade,Feature phone,2011
Meizu,Meizu 16Xs,"Android 9.0, Flyme",2019
NIU,NIU Niutek 3.5B,Android 2.3,2013
Sharp,Sharp TM100,Feature phone,2004
Haier,Haier M1000,Feature phone,2005
Qtek,Qtek 8600,Microsoft Windows Mobile 5.0 Smartphone,2006
ZTE,ZTE Open C,Firefox OS 1.3,2014
Xiaomi,Xiaomi Redmi 9 (India),"Android 10, MIUI 12",2020
Motorola,Motorola A1600,Linux,2008
alcatel,alcatel OT-S120,Feature phone,2008
ZTE,ZTE Blade II V880+,"Android 2.3.6, up to 4.0",2012
Asus,Asus Zenfone 3 Deluxe ZS570KL,"Android 6.1, up to Android 8, ZenUI 3",2016
BlackBerry,BlackBerry Curve 8530,BlackBerry OS 5.0,2009
Huawei,Huawei G10,"Android 7.1, EMUI 5.1",0
Sharp,Sharp Aquos Zero 2,Android 10,2020
BLU,BLU Studio 5.0,Android 4.1,2013
BLU,BLU Zoey,Feature phone,2013
O2,O2 Xphone,Microsoft Smartphone 2003,2003
Lenovo,Lenovo LePad S2010,"Android 2.3, up to 4.0",2012
LG,LG KF310,Feature phone,2008
Sewon,Sewon SG-2200CD,Feature phone,2004
LG,LG Q9,Android 8.1,2019
Philips,Philips W732,Android 4.0,2012
Gionee,Gionee M7 Plus,"Android 7.1, Amigo 5",2018
